Date,Singapore Dollar to Chinese Yuan
Sunday 27 May 2018,4.7499
Saturday 26 May 2018,4.762
Friday 25 May 2018,4.761
Thursday 24 May 2018,4.7618
Wednesday 23 May 2018,4.7553
Tuesday 22 May 2018,4.7554
Monday 21 May 2018,4.7657
Sunday 20 May 2018,4.7544
Saturday 19 May 2018,4.75
Friday 18 May 2018,4.7497
Thursday 17 May 2018,4.7426
Wednesday 16 May 2018,4.7558
Tuesday 15 May 2018,4.741
Monday 14 May 2018,4.744
Sunday 13 May 2018,4.7547
Saturday 12 May 2018,4.7399
Friday 11 May 2018,4.733
Thursday 10 May 2018,4.7472
Wednesday 9 May 2018,4.7256
Tuesday 8 May 2018,4.7523
Monday 7 May 2018,4.7662
Sunday 6 May 2018,4.7669
Saturday 5 May 2018,4.7666
Friday 4 May 2018,4.7668
Thursday 3 May 2018,4.7743
Wednesday 2 May 2018,4.7634
Tuesday 1 May 2018,4.7579
Monday 30 April 2018,4.7764
Sunday 29 April 2018,4.7864
Saturday 28 April 2018,4.7842
Friday 27 April 2018,4.7842
Thursday 26 April 2018,4.7728
Wednesday 25 April 2018,4.7621
Tuesday 24 April 2018,4.7688
Monday 23 April 2018,4.768
Sunday 22 April 2018,4.7857
Saturday 21 April 2018,4.7814
Friday 20 April 2018,4.7825
Thursday 19 April 2018,4.7867
Wednesday 18 April 2018,4.7904
Tuesday 17 April 2018,4.7908
Monday 16 April 2018,4.7901
Sunday 15 April 2018,4.7819
Saturday 14 April 2018,4.7832
Friday 13 April 2018,4.7832
Thursday 12 April 2018,4.7924
Wednesday 11 April 2018,4.7868
Tuesday 10 April 2018,4.7985
Monday 9 April 2018,4.8095
Sunday 8 April 2018,4.7923
Saturday 7 April 2018,4.7905
Friday 6 April 2018,4.7909
Thursday 5 April 2018,4.7914
Wednesday 4 April 2018,4.8062
Tuesday 3 April 2018,4.796
Monday 2 April 2018,4.7817
Sunday 1 April 2018,4.7916
Saturday 31 March 2018,4.7976
Friday 30 March 2018,4.797
Thursday 29 March 2018,4.7962
Wednesday 28 March 2018,4.7975
Tuesday 27 March 2018,4.7949
Monday 26 March 2018,4.7915
Sunday 25 March 2018,4.8048
Saturday 24 March 2018,4.7988
Friday 23 March 2018,4.7975
Thursday 22 March 2018,4.8135
Wednesday 21 March 2018,4.8175
Tuesday 20 March 2018,4.8017
Monday 19 March 2018,4.8103
Sunday 18 March 2018,4.8099
Saturday 17 March 2018,4.8053
Friday 16 March 2018,4.8053
Thursday 15 March 2018,4.8102
Wednesday 14 March 2018,4.8265
Tuesday 13 March 2018,4.8191
Monday 12 March 2018,4.8234
Sunday 11 March 2018,4.8097
Saturday 10 March 2018,4.8089
Friday 9 March 2018,4.8089
Thursday 8 March 2018,4.8135
Wednesday 7 March 2018,4.8129
Tuesday 6 March 2018,4.7861
Monday 5 March 2018,4.8167
Sunday 4 March 2018,4.8112
Saturday 3 March 2018,4.8107
Friday 2 March 2018,4.8103
Thursday 1 March 2018,4.8099
Wednesday 28 February 2018,4.7767
Tuesday 27 February 2018,4.7722
Monday 26 February 2018,4.7976
Sunday 25 February 2018,4.8143
Saturday 24 February 2018,4.8006
Friday 23 February 2018,4.7999
Thursday 22 February 2018,4.8139
Wednesday 21 February 2018,4.7942
Tuesday 20 February 2018,4.8098
Monday 19 February 2018,4.8296
Sunday 18 February 2018,4.8345
Saturday 17 February 2018,4.8374
Friday 16 February 2018,4.838
Thursday 15 February 2018,4.852
Wednesday 14 February 2018,4.8319
Tuesday 13 February 2018,4.7927
Monday 12 February 2018,4.7828
Sunday 11 February 2018,4.7333
Saturday 10 February 2018,4.7309
Friday 9 February 2018,4.7356
Thursday 8 February 2018,4.7537
Wednesday 7 February 2018,4.7306
Tuesday 6 February 2018,4.765
Monday 5 February 2018,4.7582
Sunday 4 February 2018,4.7749
Saturday 3 February 2018,4.7777
