uid,book_title,subject,summary,original_publisher,digital_publisher,format,language,copyright,author_name,published,resource_url,cover,thumbnail
17c74c2c-d8cb-4906-937a-816c6eafa569,"Foong Choon Hon","History |Artists |Biographies","Foong Choon Hon (b. 1928, Perak, Malaysia–d. 30 March 2009, Singapore) was a prominent local radio artist, journalist, editor and cultural activist. In his lifetime, Foong conducted several famous interviews significant to Singapore’s history. He also contributed widely as a historical documenter and cultural activist for the Chinese community in Singapore. His landmark works include The Price of Peace (1995) and Eternal Vigilance: The Price of Freedom (1999), both of which were compilations of oral histories regarding the Japanese Occupation.","na","National Library Board Singapore","text/html :. .","na","All Rights Reserved. National Library Board Singapore 2013.","admin","na","http://eresources.nlb.gov.sg/infopedia/articles/SIP_2013-06-14_121629.html","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/17c74c2c-d8cb-4906-937a-816c6eafa569?s=MD","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/17c74c2c-d8cb-4906-937a-816c6eafa569?s=SM"
afb295d5-0356-447e-af3e-1f2197847e0f,"Tan Beng Swee","Biographies |Merchants |Philanthropists","Tan Beng Swee (b. 1828, Singapore–d. 4 November 1884, Singapore) was a wealthy Straits Chinese merchant and philanthropist. As the second-generation patriarch of the prominent Tan family, he served as a leader of the Chinese communities in both Malacca and Singapore.","na","National Library Board Singapore","text/html :. .","eng","All Rights Reserved. National Library Board Singapore 2013.","admin","na","http://eresources.nlb.gov.sg/infopedia/articles/SIP_2013-06-21_140145.html","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/afb295d5-0356-447e-af3e-1f2197847e0f?s=MD","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/afb295d5-0356-447e-af3e-1f2197847e0f?s=SM"
c1dd298c-435a-49da-b5f0-0cd2bb5bc2f0,"Lee Man Fong","nlbshtx:Personalities>>Biographies>>Artists |nlbshtx:Arts>>Visual Arts>>Painting| Lee, Man-Fong, 1913-1988|Painters--Singapore--Biography|Artists--Singapore--Biography|Singapore painters |Oil painters |Painters (Art) |Artists |Painting","Lee Man Fong (b. 1913, Guangdong, China–d. 1988, Jakarta, Indonesia) was a prominent artist based in Indonesia and Singapore. Primarily working with oil paintings, Lee was associated with the Nanyang style, which blends Chinese techniques and subjects with Western composition styles and mediums.","na","National Library Board Singapore","text/html :. 18.12 KB, 4 p..","na","All Rights Reserved. National Library Board Singapore 2013.","admin","na","http://eresources.nlb.gov.sg/infopedia/articles/SIP_2013-05-06_095744.html","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/c1dd298c-435a-49da-b5f0-0cd2bb5bc2f0?s=MD","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/c1dd298c-435a-49da-b5f0-0cd2bb5bc2f0?s=SM"
9c0a34bc-2b4f-47bf-b878-788d1ded1096,"Alkaff Mansion","nlbshtx:Architecture and Landscape>>Building Types>>Historic Buildings|nlbshtx:Architecture and Landscape>>Building Types>>Commercial Buildings|Restaurants--Singapore|Diners (Restaurants)--Singapore|Italian restaurants |Architectural design |Hospitality and tourism (Industry) |Architecture |nlbshtx:Arts|Historic buildings |Commercial buildings |Arts","Alkaff Mansion is a 19th century colonial bungalow located on a hill at 10 Telok Blangah Green.  Built in 1918 by a member of the prominent Alkaff family as a weekend house, it became known for hosting high society parties in the 1930s.  The mansion once served as the headquarters of the World Buddhist Society until 1984 before it was redeveloped into a restaurant and party venue in the 1990s.  The property was then returned to the government in 2004 upon closure of the restaurant.  Left vacant for a number of years, the mansion was given a new lease of life when an Italian restaurant occupied the premises in 2011.","na","National Library Board Singapore","text/html :. 18.45 KB, 4 p..","eng","All Rights Reserved. National Library Board Singapore 2013.","admin","na","http://eresources.nlb.gov.sg/infopedia/articles/SIP_2013-05-02_080502.html","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/9c0a34bc-2b4f-47bf-b878-788d1ded1096?s=MD","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/9c0a34bc-2b4f-47bf-b878-788d1ded1096?s=SM"
22bd0249-22a6-43f1-a8b9-207948cdf8e8,"T.H.E Dance Company","nlbshtx:Arts>>Performing Arts>>Dance|Modern dance companies |Dance companies |Asian dance |Modern dance--Singapore|Dance--Singapore|Dance","The Human Expression Dance Company, better known as T.H.E Dance Company, is a non-profit contemporary dance company founded by dancer and choreographer Kuik Swee Boon in September 2008. Known for its dancers’ nifty techniques and classical-trained grace, the company focuses on fusing Asian and local identities with Western dance techniques to create works that are influenced by contemporary and societal issues. The company has made a significant impact on the local and international dance scenes, having had the privilege of performing at various dance festivals in countries such as China, Copenhagen, Dubai, France, Indonesia, Italy, Malaysia, Poland and South Korea. It is fast becoming one of the best contemporary dance groups in the region.","na","National Library Board Singapore","text/html :. 21.53 KB, 4 p..","eng","All Rights Reserved. National Library Board Singapore 2013.","admin","na","http://eresources.nlb.gov.sg/infopedia/articles/SIP_2013-04-25_092043.html","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/22bd0249-22a6-43f1-a8b9-207948cdf8e8?s=MD","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/22bd0249-22a6-43f1-a8b9-207948cdf8e8?s=SM"
a14613dd-425d-4462-843b-b6c5df77b8a1,"Frederick Nutter Chasen","nlbshtx:Personalities>>Biographies|Zoologists |Personalities","Frederick Nutter Chasen (b. 1896 Norfolk, England–d. 1942, Singapore) was a zoologist who worked at the Raffles Library and Museum from 1921 to 1941, first as a curator and later as its director. Under his directorship, the institution was developed as a centre for scientific research in the region and became known for its zoological and prehistoric collections.","na","National Library Board Singapore","text/html :. .","na","All Rights Reserved. National Library Board Singapore 2013.","admin","na","http://eresources.nlb.gov.sg/infopedia/articles/SIP_2013-05-17_085050.html","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/a14613dd-425d-4462-843b-b6c5df77b8a1?s=MD","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/a14613dd-425d-4462-843b-b6c5df77b8a1?s=SM"
684bfcfa-333a-4fa5-afcf-40a9597f3cad,"Singapore Infopedia","Information resources--Singapore|Reference sources--Singapore|nlbdltx:Science and technology>>Library and information science>>Library and information services|nlbdltx:History>>Asia>>Southeast Asia>>Singapore","Available at all libraries and from home.","na","National Library Board Singapore","text/html :. .","eng","All Rights Reserved. National Library Board Singapore 2008.","admin","2008-09-03","http://eresources.nlb.gov.sg/infopedia/articles/PID100850000016149.txt","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/684bfcfa-333a-4fa5-afcf-40a9597f3cad?s=MD","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/684bfcfa-333a-4fa5-afcf-40a9597f3cad?s=SM"
7115356d-7421-429b-a73d-d9073ed61756,"Christmas Island (flora and fauna)","nlbshtx:Nature>>Animals|nlbshtx:Nature>>Plants|nlbshtx:Geography>>Geographical Areas and Countries>>Singapore Offshore Islands|Horticulture--Islands--Kiribati|Kiritimati(Kiribati)|nlbdltx:Science and technology>>Agriculture>>Horticulture>>Flowers and ornamental plants|nlbdltx:Science and technology>>Biology>>Ecology>>Marine ecology|Wildlife |Plants |Singapore offshore islands","The robber crab (Birgus latro) is the largest of the various crab species found on Christmas Island. Able to climb trees, the crabs only return to water during breeding season to lay eggs. However, the most notorious crab species is the red crab (Gecarcoidea natalis), which migrates by the millions at the end of the dry season around November to December. The dry season spans May to November, while the wet season is between December to April.","na","National Library Board Singapore","text/html :. 7 KB, 2 p..","eng","na","admin","na","http://eresources.nlb.gov.sg/infopedia/articles/SIP_492_2005-01-07.html","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/7115356d-7421-429b-a73d-d9073ed61756?s=MD","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/7115356d-7421-429b-a73d-d9073ed61756?s=SM"
1ea9da03-fff3-4c91-82a9-f4ac7c31d89a,"Walter John Napier","nlbshtx:Personalities>>Biographies>>Colonial Administrators|Napier, Walter John, 1857-|Attorneys general--Singapore--Biography|Attorneys general--Malaysia--Malaya--Biography|nlbdltx:Law and government>>Jurisprudence|Colonial administrators","Walter John Napier (b. 10 July 1857, Alderly Lodge, Cheshire, England-d.?) was joint founder of the law firm Drew and Napier, and Attorney-General of the Straits Settlements from 1907 to 1909, during which he was responsible for introducing a new Civil Procedure Code. As a lawyer-academic, Napier played a key role in the publication of the Straits Settlements Law Reports in 1893 and was its first editor. In 1898, he published An Introduction to the Study of the Law Administered in the Colony of the Straits Settlements, which addressed the contentious issues between English and native law. In recognition of his services as Attorney–General and other contributions, Napier was bestowed a knighthood in 1909.","na","National Library Board Singapore","text/html :. 16 KB.","eng","na","admin","2008-03-05","http://eresources.nlb.gov.sg/infopedia/articles/SIP_1213_2008-01-30.html","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/1ea9da03-fff3-4c91-82a9-f4ac7c31d89a?s=MD","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/1ea9da03-fff3-4c91-82a9-f4ac7c31d89a?s=SM"
7c4f9862-8c93-4d99-96c8-bb2eecee4a4a,"Woodlands MRT line","nlbshtx:Commerce and Industry>>Transportation|nlbshtx:Architecture and Landscape>>Building Types>>Commercial Buildings|Local transit--Singapore|Urban transportation--Singapore|Local transit stations--Singapore|nlbdltx:Business, finance and industry>>Industry>>Services>>Transportation and logistics|nlbdltx:Law and government>>Safety administration>>Land transportation|Transportation |Commercial buildings","The Woodlands Mass Rapid Transit (MRT) line, connecting Choa Chu Kang to Yishun, was constructed in the early 1990s. The S$1.3-billion MRT line was officially opened on 10 February 1996 by then Prime Minister Goh Chok Tong. Also known as the Woodlands extension line, it is made up of six MRT stations: Yew Tee, Kranji, Marsiling, Woodlands, Admiralty and Sembawang.","na","National Library Board Singapore","text/html :. 21 KB, 3 p..","eng","na","admin","2006-01-23","http://eresources.nlb.gov.sg/infopedia/articles/SIP_364_2005-01-28.html","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/7c4f9862-8c93-4d99-96c8-bb2eecee4a4a?s=MD","http://eservice.nlb.gov.sg/bookcoverwrapper/cover/7c4f9862-8c93-4d99-96c8-bb2eecee4a4a?s=SM"
