current_date,t-5,t-4,t-3,t-2,t-1,current_rate
1983-06-01,9.53,9.25,9.1,9.03,9.03,8.88
1983-07-01,9.25,9.1,9.03,9.03,8.88,9.0
1983-08-01,9.1,9.03,9.03,8.88,9.0,9.0
1983-09-01,9.03,9.03,8.88,9.0,9.0,8.95
1983-10-01,9.03,8.88,9.0,9.0,8.95,8.93
1983-11-01,8.88,9.0,9.0,8.95,8.93,8.93
1983-12-01,9.0,9.0,8.95,8.93,8.93,8.98
1984-01-01,9.0,8.95,8.93,8.93,8.98,9.05
1984-02-01,8.95,8.93,8.93,8.98,9.05,9.0
1984-03-01,8.93,8.93,8.98,9.05,9.0,9.2
1984-04-01,8.93,8.98,9.05,9.0,9.2,9.63
1984-05-01,8.98,9.05,9.0,9.2,9.63,9.98
1984-06-01,9.05,9.0,9.2,9.63,9.98,10.08
1984-07-01,9.0,9.2,9.63,9.98,10.08,10.1
1984-08-01,9.2,9.63,9.98,10.08,10.1,10.1
1984-09-01,9.63,9.98,10.08,10.1,10.1,10.33
1984-10-01,9.98,10.08,10.1,10.1,10.33,10.08
1984-11-01,10.08,10.1,10.1,10.33,10.08,9.68
1984-12-01,10.1,10.1,10.33,10.08,9.68,9.4
1985-01-01,10.1,10.33,10.08,9.68,9.4,9.08
1985-02-01,10.33,10.08,9.68,9.4,9.08,9.03
1985-03-01,10.08,9.68,9.4,9.08,9.03,9.03
1985-04-01,9.68,9.4,9.08,9.03,9.03,8.73
1985-05-01,9.4,9.08,9.03,9.03,8.73,8.48
1985-06-01,9.08,9.03,9.03,8.73,8.48,8.28
1985-07-01,9.03,9.03,8.73,8.48,8.28,8.03
1985-08-01,9.03,8.73,8.48,8.28,8.03,7.28
1985-09-01,8.73,8.48,8.28,8.03,7.28,7.2
1985-10-01,8.48,8.28,8.03,7.28,7.2,7.23
1985-11-01,8.28,8.03,7.28,7.2,7.23,7.2
1985-12-01,8.03,7.28,7.2,7.23,7.2,7.2
1986-01-01,7.28,7.2,7.23,7.2,7.2,7.2
1986-02-01,7.2,7.23,7.2,7.2,7.2,7.2
1986-03-01,7.23,7.2,7.2,7.2,7.2,7.18
1986-04-01,7.2,7.2,7.2,7.2,7.18,7.15
1986-05-01,7.2,7.2,7.2,7.18,7.15,7.15
1986-06-01,7.2,7.2,7.18,7.15,7.15,7.15
1986-07-01,7.2,7.18,7.15,7.15,7.15,7.05
1986-08-01,7.18,7.15,7.15,7.15,7.05,6.83
1986-09-01,7.15,7.15,7.15,7.05,6.83,6.45
1986-10-01,7.15,7.15,7.05,6.83,6.45,6.28
1986-11-01,7.15,7.05,6.83,6.45,6.28,6.1
1986-12-01,7.05,6.83,6.45,6.28,6.1,6.1
1987-01-01,6.83,6.45,6.28,6.1,6.1,6.1
1987-02-01,6.45,6.28,6.1,6.1,6.1,6.1
1987-03-01,6.28,6.1,6.1,6.1,6.1,6.1
1987-04-01,6.1,6.1,6.1,6.1,6.1,6.1
1987-05-01,6.1,6.1,6.1,6.1,6.1,6.1
1987-06-01,6.1,6.1,6.1,6.1,6.1,6.1
1987-07-01,6.1,6.1,6.1,6.1,6.1,6.1
1987-08-01,6.1,6.1,6.1,6.1,6.1,6.1
1987-09-01,6.1,6.1,6.1,6.1,6.1,6.1
1987-10-01,6.1,6.1,6.1,6.1,6.1,6.1
1987-11-01,6.1,6.1,6.1,6.1,6.1,6.1
1987-12-01,6.1,6.1,6.1,6.1,6.1,6.1
1988-01-01,6.1,6.1,6.1,6.1,6.1,5.98
1988-02-01,6.1,6.1,6.1,6.1,5.98,5.93
1988-03-01,6.1,6.1,6.1,5.98,5.93,5.85
1988-04-01,6.1,6.1,5.98,5.93,5.85,5.85
1988-05-01,6.1,5.98,5.93,5.85,5.85,5.85
1988-06-01,5.98,5.93,5.85,5.85,5.85,5.85
1988-07-01,5.93,5.85,5.85,5.85,5.85,5.85
1988-08-01,5.85,5.85,5.85,5.85,5.85,6.05
1988-09-01,5.85,5.85,5.85,5.85,6.05,6.05
1988-10-01,5.85,5.85,5.85,6.05,6.05,6.05
1988-11-01,5.85,5.85,6.05,6.05,6.05,6.13
1988-12-01,5.85,6.05,6.05,6.05,6.13,6.13
1989-01-01,6.05,6.05,6.05,6.13,6.13,6.13
1989-02-01,6.05,6.05,6.13,6.13,6.13,6.15
1989-03-01,6.05,6.13,6.13,6.13,6.15,6.18
1989-04-01,6.13,6.13,6.13,6.15,6.18,6.2
1989-05-01,6.13,6.13,6.15,6.18,6.2,6.23
1989-06-01,6.13,6.15,6.18,6.2,6.23,6.23
1989-07-01,6.15,6.18,6.2,6.23,6.23,6.23
1989-08-01,6.18,6.2,6.23,6.23,6.23,6.23
1989-09-01,6.2,6.23,6.23,6.23,6.23,6.23
1989-10-01,6.23,6.23,6.23,6.23,6.23,6.23
1989-11-01,6.23,6.23,6.23,6.23,6.23,6.25
1989-12-01,6.23,6.23,6.23,6.23,6.25,6.25
1990-01-01,6.23,6.23,6.23,6.25,6.25,6.28
1990-02-01,6.23,6.23,6.25,6.25,6.28,6.6
1990-03-01,6.23,6.25,6.25,6.28,6.6,6.65
1990-04-01,6.25,6.25,6.28,6.6,6.65,7.03
1990-05-01,6.25,6.28,6.6,6.65,7.03,7.23
1990-06-01,6.28,6.6,6.65,7.03,7.23,7.6
1990-07-01,6.6,6.65,7.03,7.23,7.6,7.65
1990-08-01,6.65,7.03,7.23,7.6,7.65,7.9
1990-09-01,7.03,7.23,7.6,7.65,7.9,7.9
1990-10-01,7.23,7.6,7.65,7.9,7.9,7.9
1990-11-01,7.6,7.65,7.9,7.9,7.9,7.88
1990-12-01,7.65,7.9,7.9,7.9,7.88,7.73
1991-01-01,7.9,7.9,7.9,7.88,7.73,7.45
1991-02-01,7.9,7.9,7.88,7.73,7.45,7.43
1991-03-01,7.9,7.88,7.73,7.45,7.43,7.43
1991-04-01,7.88,7.73,7.45,7.43,7.43,7.43
1991-05-01,7.73,7.45,7.43,7.43,7.43,7.43
1991-06-01,7.45,7.43,7.43,7.43,7.43,7.71
1991-07-01,7.43,7.43,7.43,7.43,7.71,7.91
1991-08-01,7.43,7.43,7.43,7.71,7.91,7.91
1991-09-01,7.43,7.43,7.71,7.91,7.91,7.85
1991-10-01,7.43,7.71,7.91,7.91,7.85,7.7
1991-11-01,7.71,7.91,7.91,7.85,7.7,7.65
1991-12-01,7.91,7.91,7.85,7.7,7.65,7.1
1992-01-01,7.91,7.85,7.7,7.65,7.1,6.55
1992-02-01,7.85,7.7,7.65,7.1,6.55,6.18
1992-03-01,7.7,7.65,7.1,6.55,6.18,6.18
1992-04-01,7.65,7.1,6.55,6.18,6.18,6.18
1992-05-01,7.1,6.55,6.18,6.18,6.18,6.18
1992-06-01,6.55,6.18,6.18,6.18,6.18,6.13
1992-07-01,6.18,6.18,6.18,6.18,6.13,5.89
1992-08-01,6.18,6.18,6.18,6.13,5.89,5.86
1992-09-01,6.18,6.18,6.13,5.89,5.86,5.63
1992-10-01,6.18,6.13,5.89,5.86,5.63,5.55
1992-11-01,6.13,5.89,5.86,5.63,5.55,5.55
1992-12-01,5.89,5.86,5.63,5.55,5.55,5.55
1993-01-01,5.86,5.63,5.55,5.55,5.55,5.55
1993-02-01,5.63,5.55,5.55,5.55,5.55,5.55
1993-03-01,5.55,5.55,5.55,5.55,5.55,5.38
1993-04-01,5.55,5.55,5.55,5.55,5.38,5.36
1993-05-01,5.55,5.55,5.55,5.38,5.36,5.36
1993-06-01,5.55,5.55,5.38,5.36,5.36,5.36
1993-07-01,5.55,5.38,5.36,5.36,5.36,5.36
1993-08-01,5.38,5.36,5.36,5.36,5.36,5.36
1993-09-01,5.36,5.36,5.36,5.36,5.36,5.36
1993-10-01,5.36,5.36,5.36,5.36,5.36,5.34
1993-11-01,5.36,5.36,5.36,5.36,5.34,5.34
1993-12-01,5.36,5.36,5.36,5.34,5.34,5.34
1994-01-01,5.36,5.36,5.34,5.34,5.34,5.5
1994-02-01,5.36,5.34,5.34,5.34,5.5,5.59
1994-03-01,5.34,5.34,5.34,5.5,5.59,5.59
1994-04-01,5.34,5.34,5.5,5.59,5.59,5.66
1994-05-01,5.34,5.5,5.59,5.59,5.66,5.73
1994-06-01,5.5,5.59,5.59,5.66,5.73,5.73
1994-07-01,5.59,5.59,5.66,5.73,5.73,5.73
1994-08-01,5.59,5.66,5.73,5.73,5.73,6.01
1994-09-01,5.66,5.73,5.73,5.73,6.01,6.01
1994-10-01,5.73,5.73,5.73,6.01,6.01,6.01
1994-11-01,5.73,5.73,6.01,6.01,6.01,6.49
1994-12-01,5.73,6.01,6.01,6.01,6.49,6.49
1995-01-01,6.01,6.01,6.01,6.49,6.49,6.49
1995-02-01,6.01,6.01,6.49,6.49,6.49,6.49
1995-03-01,6.01,6.49,6.49,6.49,6.49,6.49
1995-04-01,6.49,6.49,6.49,6.49,6.49,6.49
1995-05-01,6.49,6.49,6.49,6.49,6.49,6.49
1995-06-01,6.49,6.49,6.49,6.49,6.49,6.34
1995-07-01,6.49,6.49,6.49,6.49,6.34,6.34
1995-08-01,6.49,6.49,6.49,6.34,6.34,6.26
1995-09-01,6.49,6.49,6.34,6.34,6.26,6.26
1995-10-01,6.49,6.34,6.34,6.26,6.26,6.26
1995-11-01,6.34,6.34,6.26,6.26,6.26,6.26
1995-12-01,6.34,6.26,6.26,6.26,6.26,6.26
1996-01-01,6.26,6.26,6.26,6.26,6.26,6.26
1996-02-01,6.26,6.26,6.26,6.26,6.26,6.26
1996-03-01,6.26,6.26,6.26,6.26,6.26,6.26
1996-04-01,6.26,6.26,6.26,6.26,6.26,6.26
1996-05-01,6.26,6.26,6.26,6.26,6.26,6.26
1996-06-01,6.26,6.26,6.26,6.26,6.26,6.26
1996-07-01,6.26,6.26,6.26,6.26,6.26,6.26
1996-08-01,6.26,6.26,6.26,6.26,6.26,6.26
1996-09-01,6.26,6.26,6.26,6.26,6.26,6.26
1996-10-01,6.26,6.26,6.26,6.26,6.26,6.26
1996-11-01,6.26,6.26,6.26,6.26,6.26,6.26
1996-12-01,6.26,6.26,6.26,6.26,6.26,6.26
1997-01-01,6.26,6.26,6.26,6.26,6.26,6.26
1997-02-01,6.26,6.26,6.26,6.26,6.26,6.26
1997-03-01,6.26,6.26,6.26,6.26,6.26,6.26
1997-04-01,6.26,6.26,6.26,6.26,6.26,6.26
1997-05-01,6.26,6.26,6.26,6.26,6.26,6.26
