,Date,Prime_Lending_Rate_precent_pa
0,1983-01-01,9.53
1,1983-02-01,9.25
2,1983-03-01,9.1
3,1983-04-01,9.03
4,1983-05-01,9.03
5,1983-06-01,8.88
6,1983-07-01,9.0
7,1983-08-01,9.0
8,1983-09-01,8.95
9,1983-10-01,8.93
10,1983-11-01,8.93
11,1983-12-01,8.98
12,1984-01-01,9.05
13,1984-02-01,9.0
14,1984-03-01,9.2
15,1984-04-01,9.63
16,1984-05-01,9.98
17,1984-06-01,10.08
18,1984-07-01,10.1
19,1984-08-01,10.1
20,1984-09-01,10.33
21,1984-10-01,10.08
22,1984-11-01,9.68
23,1984-12-01,9.4
24,1985-01-01,9.08
25,1985-02-01,9.03
26,1985-03-01,9.03
27,1985-04-01,8.73
28,1985-05-01,8.48
29,1985-06-01,8.28
30,1985-07-01,8.03
31,1985-08-01,7.28
32,1985-09-01,7.2
33,1985-10-01,7.23
34,1985-11-01,7.2
35,1985-12-01,7.2
36,1986-01-01,7.2
37,1986-02-01,7.2
38,1986-03-01,7.18
39,1986-04-01,7.15
40,1986-05-01,7.15
41,1986-06-01,7.15
42,1986-07-01,7.05
43,1986-08-01,6.83
44,1986-09-01,6.45
45,1986-10-01,6.28
46,1986-11-01,6.1
47,1986-12-01,6.1
48,1987-01-01,6.1
49,1987-02-01,6.1
50,1987-03-01,6.1
51,1987-04-01,6.1
52,1987-05-01,6.1
53,1987-06-01,6.1
54,1987-07-01,6.1
55,1987-08-01,6.1
56,1987-09-01,6.1
57,1987-10-01,6.1
58,1987-11-01,6.1
59,1987-12-01,6.1
60,1988-01-01,5.98
61,1988-02-01,5.93
62,1988-03-01,5.85
63,1988-04-01,5.85
64,1988-05-01,5.85
65,1988-06-01,5.85
66,1988-07-01,5.85
67,1988-08-01,6.05
68,1988-09-01,6.05
69,1988-10-01,6.05
70,1988-11-01,6.13
71,1988-12-01,6.13
72,1989-01-01,6.13
73,1989-02-01,6.15
74,1989-03-01,6.18
75,1989-04-01,6.2
76,1989-05-01,6.23
77,1989-06-01,6.23
78,1989-07-01,6.23
79,1989-08-01,6.23
80,1989-09-01,6.23
81,1989-10-01,6.23
82,1989-11-01,6.25
83,1989-12-01,6.25
84,1990-01-01,6.28
85,1990-02-01,6.6
86,1990-03-01,6.65
87,1990-04-01,7.03
88,1990-05-01,7.23
89,1990-06-01,7.6
90,1990-07-01,7.65
91,1990-08-01,7.9
92,1990-09-01,7.9
93,1990-10-01,7.9
94,1990-11-01,7.88
95,1990-12-01,7.73
96,1991-01-01,7.45
97,1991-02-01,7.43
98,1991-03-01,7.43
99,1991-04-01,7.43
100,1991-05-01,7.43
101,1991-06-01,7.71
102,1991-07-01,7.91
103,1991-08-01,7.91
104,1991-09-01,7.85
105,1991-10-01,7.7
106,1991-11-01,7.65
107,1991-12-01,7.1
108,1992-01-01,6.55
109,1992-02-01,6.18
110,1992-03-01,6.18
111,1992-04-01,6.18
112,1992-05-01,6.18
113,1992-06-01,6.13
114,1992-07-01,5.89
115,1992-08-01,5.86
116,1992-09-01,5.63
117,1992-10-01,5.55
118,1992-11-01,5.55
119,1992-12-01,5.55
120,1993-01-01,5.55
121,1993-02-01,5.55
122,1993-03-01,5.38
123,1993-04-01,5.36
124,1993-05-01,5.36
125,1993-06-01,5.36
126,1993-07-01,5.36
127,1993-08-01,5.36
128,1993-09-01,5.36
129,1993-10-01,5.34
130,1993-11-01,5.34
131,1993-12-01,5.34
132,1994-01-01,5.5
133,1994-02-01,5.59
134,1994-03-01,5.59
135,1994-04-01,5.66
136,1994-05-01,5.73
137,1994-06-01,5.73
138,1994-07-01,5.73
139,1994-08-01,6.01
140,1994-09-01,6.01
141,1994-10-01,6.01
142,1994-11-01,6.49
143,1994-12-01,6.49
144,1995-01-01,6.49
145,1995-02-01,6.49
146,1995-03-01,6.49
147,1995-04-01,6.49
148,1995-05-01,6.49
149,1995-06-01,6.34
150,1995-07-01,6.34
151,1995-08-01,6.26
152,1995-09-01,6.26
153,1995-10-01,6.26
154,1995-11-01,6.26
155,1995-12-01,6.26
156,1996-01-01,6.26
157,1996-02-01,6.26
158,1996-03-01,6.26
159,1996-04-01,6.26
160,1996-05-01,6.26
161,1996-06-01,6.26
162,1996-07-01,6.26
163,1996-08-01,6.26
164,1996-09-01,6.26
165,1996-10-01,6.26
166,1996-11-01,6.26
167,1996-12-01,6.26
168,1997-01-01,6.26
169,1997-02-01,6.26
170,1997-03-01,6.26
171,1997-04-01,6.26
172,1997-05-01,6.26
173,1997-06-01,6.26
174,1997-07-01,6.26
175,1997-08-01,6.26
176,1997-09-01,6.26
177,1997-10-01,6.26
178,1997-11-01,6.31
179,1997-12-01,6.96
180,1998-01-01,7.79
181,1998-02-01,7.79
182,1998-03-01,7.74
183,1998-04-01,7.74
184,1998-05-01,7.79
185,1998-06-01,7.79
186,1998-07-01,7.79
187,1998-08-01,7.79
188,1998-09-01,7.54
189,1998-10-01,7.31
190,1998-11-01,6.33
191,1998-12-01,5.9
192,1999-01-01,5.8
193,1999-02-01,5.8
194,1999-03-01,5.8
195,1999-04-01,5.8
196,1999-05-01,5.8
197,1999-06-01,5.8
198,1999-07-01,5.8
199,1999-08-01,5.8
200,1999-09-01,5.8
201,1999-10-01,5.8
202,1999-11-01,5.8
203,1999-12-01,5.8
204,2000-01-01,5.8
205,2000-02-01,5.85
206,2000-03-01,5.85
207,2000-04-01,5.85
208,2000-05-01,5.85
209,2000-06-01,5.85
210,2000-07-01,5.85
211,2000-08-01,5.85
212,2000-09-01,5.85
213,2000-10-01,5.8
214,2000-11-01,5.8
215,2000-12-01,5.8
216,2001-01-01,5.8
217,2001-02-01,5.8
218,2001-03-01,5.8
219,2001-04-01,5.8
220,2001-05-01,5.8
221,2001-06-01,5.8
222,2001-07-01,5.8
223,2001-08-01,5.8
224,2001-09-01,5.48
225,2001-10-01,5.3
226,2001-11-01,5.3
227,2001-12-01,5.3
228,2002-01-01,5.3
229,2002-02-01,5.35
230,2002-03-01,5.35
231,2002-04-01,5.35
232,2002-05-01,5.35
233,2002-06-01,5.35
234,2002-07-01,5.35
235,2002-08-01,5.35
236,2002-09-01,5.35
237,2002-10-01,5.35
238,2002-11-01,5.35
239,2002-12-01,5.35
240,2003-01-01,5.35
241,2003-02-01,5.33
242,2003-03-01,5.3
243,2003-04-01,5.3
244,2003-05-01,5.3
245,2003-06-01,5.3
246,2003-07-01,5.3
247,2003-08-01,5.3
248,2003-09-01,5.3
249,2003-10-01,5.3
250,2003-11-01,5.3
251,2003-12-01,5.3
252,2004-01-01,5.3
253,2004-02-01,5.3
254,2004-03-01,5.3
255,2004-04-01,5.3
256,2004-05-01,5.3
257,2004-06-01,5.3
258,2004-07-01,5.3
259,2004-08-01,5.3
260,2004-09-01,5.3
261,2004-10-01,5.3
262,2004-11-01,5.3
263,2004-12-01,5.3
264,2005-01-01,5.3
265,2005-02-01,5.3
266,2005-03-01,5.3
267,2005-04-01,5.3
268,2005-05-01,5.3
269,2005-06-01,5.3
270,2005-07-01,5.3
271,2005-08-01,5.3
272,2005-09-01,5.3
273,2005-10-01,5.3
274,2005-11-01,5.3
275,2005-12-01,5.3
276,2006-01-01,5.3
277,2006-02-01,5.3
278,2006-03-01,5.3
279,2006-04-01,5.3
280,2006-05-01,5.3
281,2006-06-01,5.3
282,2006-07-01,5.3
283,2006-08-01,5.33
284,2006-09-01,5.33
285,2006-10-01,5.33
286,2006-11-01,5.33
