Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Ret_MinusTwo,Ret_MinusOne,Ret_2,Ret_3
,,-0.2840871086355577,,9.0,0.08541613954196005,0.021265963852481275,0.00028111689604839817,-2.3457030352075392e-05
5.0,-0.4378760011413476,-0.5801226615106898,-0.05992882890084775,8.0,-0.020794195463556764,-0.013767689723757836,2.167592055392717e-07,0.002124794842977352
8.0,-1.1026957458015558,2.507068350503084,1.8497024950289682,8.0,-0.010189381350736522,0.004867819741207154,-2.228728109444736e-05,-0.0001404129226703531
,,-0.3925835920555981,,1.0,-0.053206596460894436,0.02243088802269715,-0.0007589208411562165,0.0007332914520719375
,,,-0.038830509054389915,9.0,0.019479390153792152,-0.013249611744532116,-0.0006426620191564241,0.00115193265534998
,0.008656708000646246,,0.47642843263033596,1.0,0.030187951506344138,0.0015253301003383256,0.0023002566409685843,-0.0016570482034478158
,0.21653878997887288,-0.762262362468598,0.1496691795912351,8.0,0.00016535521469200788,-0.02660481130827165,9.35687268215851e-06,-0.0006317738748215059
,1.846245906190252,0.711029047953085,0.7622684709340655,7.0,0.02635657860881509,-0.014745576559253818,-0.0008031773036906107,-6.960968707935591e-06
,-0.7496872808029179,0.27945745018737245,0.635768369230951,6.0,0.0015633936891232562,0.009287208791656738,-2.587734453265607e-05,0.00010847280068860408
5.0,,0.9869498172792136,0.9686710918979816,7.0,0.02209508212421382,0.000890730277917494,0.0008544466135491247,-0.0004172156136466431
,1.690912088296105,0.5595584789377149,0.6682017637159806,7.0,-0.0055081049737487255,0.12521597976970614,0.0006296861743940622,-0.0005018000430666085
,,0.1463256189499706,,8.0,-0.015650793927611473,-0.0956902890539388,-0.00045851666674699904,-1.1626586871856288e-05
,,-0.6170203220606701,-0.6788633269812919,8.0,0.013694729218120351,0.04947657256552802,-2.6286744523658696e-07,2.2396914743243155e-05
,0.7104523239416151,-0.3310769962889177,-0.4631026655996332,8.0,-0.02604055467461524,0.0060489735209660715,-0.0006534139426042997,0.0006858118268482684
,2.113631012434007,-0.18396330192180466,,4.0,-0.016116705862303463,0.01131860528467743,-0.0007346751914496609,3.038827606241597e-06
,,0.2181228747825716,,3.0,-0.02669355346783002,0.0010114074589570663,-0.00021983176737517613,0.00024625901218356137
,2.293008323726104,-0.15697238904118307,-0.4080109797384145,10.0,-0.005283803116401916,0.020748687361036616,0.0019912853465810926,3.118053145405809e-06
,1.1924779141723312,1.6925308492030509,1.1682318622217294,6.0,-0.0013773391557044606,0.01200782758166829,0.0005546993370949202,-0.00019754593635839504
6.0,-1.5285320261470483,1.0709272710711877,0.7661361920221017,7.0,0.03885432070589881,0.03113457782733112,0.0007962950248437112,-0.0016603739718910329
,0.2004565960465226,-0.01882374316093656,0.6293273249840892,8.0,-0.004616035787174341,-0.0003832555671510992,0.0012127632884895141,-0.00012964035061592023
,1.2067882168290327,-0.3969057250225513,-0.1503431666991069,2.0,-0.020805570626706318,0.007098940617132506,0.0005583055241186025,
,-1.0425958960572344,0.4475133337595157,-0.13445054153089736,9.0,0.03203402231029535,-0.02522863708691376,0.0003347570509887258,9.176425752160148e-05
,-1.0542866024480422,1.5498827255191507,,5.0,-0.0022036256723247443,0.008650735501932419,0.00013477997680136762,-0.00013860206373233214
5.0,0.04516107805647923,0.7491032296984903,-1.8922694801599491,5.0,0.008060293426120215,0.015513222963381082,0.00025816987510320094,0.0009696285732274164
,-0.9223167972102126,1.480054548500555,0.6157502061432335,5.0,-0.0010102043519870571,0.010633687775865569,1.5365300600166377e-05,0.0005156545416582769
,,-0.17593942998539852,,1.0,0.012000984574423643,0.003977275935213532,0.00016273178086991267,0.0004961834657988337
,-0.5694713906395428,0.7060291361870656,0.059473433239637885,8.0,-0.0260220296362086,-0.09702792248111757,0.0004006288113216,0.0024301703962636696
,0.16178193543636055,0.2754199508497942,0.05660146323547707,7.0,0.012315095878765552,0.004921794314971693,-0.0008951040451232382,0.00024263081046162264
,,,,5.0,-0.01566594659244924,-0.018069043063556,0.001089191822816236,0.0014460227335613707
,,0.09306572226490713,-0.14640446955850656,5.0,-0.008627911919910336,0.0002916350741053358,-0.0007536045254625943,-0.0007725614378299171
,-0.14211188463224675,-1.0684918846451643,-0.3506407730757739,8.0,0.09162981800610813,0.14549594335541885,0.00100529310024541,0.0009968042384182632
,2.5089374629013936,-0.3483080602051681,-0.13042401719365151,8.0,-0.09570999408372112,0.0445182453996039,0.0006803203944255472,0.0006950804371238622
,,3.404652380629835,1.227718938672281,9.0,0.002662106950596391,-0.006530459271260988,-0.00030841754618571884,-6.43771484006187e-05
,-1.9050199857481904,3.023882528546033,2.253414589053236,5.0,-0.0016879750896653502,0.007741739128459896,-0.0017964549889103708,-0.0005838804909407307
5.0,-1.091812106712257,1.1213712496291848,1.1773506754796372,2.0,0.0031142594462379605,-0.0035644413157747525,-0.0010429774189044414,4.002966072718829e-06
,-0.5228832886301105,1.1601655134554991,0.7834454457299261,7.0,-0.001515906746471468,-0.02037064041290369,-0.0004140108561835105,-0.0002821754481945814
6.0,-1.6257976434788126,0.5430149480043186,-1.3872443744255945,9.0,-0.0013738069426941714,-0.005820511392595571,1.0379960852611533e-05,-1.2266505576564008e-05
,-0.2791740408944913,0.2885856611555336,-0.03724280863673807,5.0,-0.0010368995018018457,-0.0025506874072340514,0.0007286249925205795,0.000723589701222775
5.0,-1.1875734185274769,1.4546377522585892,,1.0,0.00899562445750662,-0.0033522709886752693,0.0003312636391966928,-0.00034921558166551984
,0.2815840813147095,-0.41939956454406574,-1.0787981946631886,9.0,0.00989658124004535,-0.022817066067808155,-0.0005035821435024632,-0.00024073138800787807
,,0.9318787185992488,-0.7111547805487899,1.0,0.008796768495058109,0.011019297453414695,0.0007474493562662425,1.6014077257353269e-06
,,-0.4188725091558947,-0.6285997231754871,9.0,0.07585748480895711,0.024226969059750646,0.0027240959259547835,0.00396048037071216
,0.21369746385246136,-0.8568210236011465,-1.0372846786024312,8.0,-0.026189265427421345,0.031809135372375015,0.00028309435237648884,-0.00031090431249632003
4.0,-1.1931206011186115,2.8035265302291776,,1.0,-0.07378549122842468,-0.02619957359224677,0.0007166746754983268,0.0020952462618129323
,,0.5515049343878206,,1.0,0.012044637296332657,-0.0008518876937211088,9.394822663217078e-06,-0.0004054853345776178
,-0.4974306093424862,-0.11027809856816438,0.13899099003504414,5.0,-0.028769977781825374,-0.013588341851856886,,
,-0.3318741320973121,-0.357638521010176,-0.19749122117504408,8.0,0.019320508760602463,-0.00029313171624707675,5.284692812334011e-06,
1.0,1.992014460547097,-0.2815173814657234,-0.5125885711881734,1.0,-0.04455660105749768,-0.03819616844890765,0.0008810781463759921,0.0004384250347017675
4.0,-1.1963726101702623,1.6448778271300788,1.2518436727523858,7.0,0.01943529544291931,-0.009266963808414234,-0.00028937315928533915,-0.0008132646033870265
,,-0.1474506759485477,-0.4257039188411319,2.0,-0.0002496363384645724,0.01795083061161934,0.0002547178655703,-0.00047579211932974444
3.0,-0.7544588593633695,0.6735157350895455,0.7878507375775156,2.0,-0.008376491428556855,0.0014141827509001376,0.00031818790017099617,-0.00015494232233950248
1.0,-1.423216075397128,1.6992565400525048,1.2167192360546215,5.0,0.0008766466566593683,-0.006709357684035878,-4.635528209071484e-06,5.475784859067783e-06
,-0.20093182373936408,0.3921489696723952,0.6268415775072975,10.0,-0.007322340664063936,-0.03623810404574284,-0.0014874201090127892,-0.001978437915436466
,1.6248662730090773,-0.4152548387685825,-0.8822748762684651,8.0,-0.023516327301858767,0.07122475567832053,-1.5170653613826478e-05,-0.0013786881663351987
,,-0.12697265721173073,-0.8236281365582702,9.0,0.12414116656597787,-0.0462250779037668,0.001418086260161187,0.0007077735475279393
,,0.026713791078319254,0.1030576396910041,7.0,0.004519324853107135,-0.02562678475841073,6.6186021989082075e-06,-1.7823365119260342e-05
1.0,-1.5339224887904317,1.3730046753495648,0.8255313189553641,10.0,-0.02638321079939253,0.02413445414873712,-9.359723518516774e-06,5.557378267053553e-06
,-0.9401560092734637,0.6688753954120044,1.1801622081269698,2.0,-0.012126064440884488,-0.013866183817098818,7.612085265434274e-06,0.00021411060472245044
,,0.7426758752855287,1.1033897299359927,7.0,-0.007313067416129327,-0.005306369068441744,0.00012387645523279664,-0.0001397947107602392
,0.05141302891828965,1.017637592994409,1.1931352555472772,6.0,-0.011915405491926157,0.001350938280735818,0.0001853629433952976,0.0001984702665434695
,0.4070955563741366,-0.6830755644278107,-1.225127704348662,8.0,0.008702784553542434,0.005486410417155261,-0.00019865987554640725,-0.000979836955840943
,2.0250562444202256,0.37065392404933706,0.5700138530329311,8.0,-0.004129011250901726,0.005266685753580617,0.00017277529547245668,0.00018754270612940773
,-0.14948435612232866,0.9401360043961188,0.6388047841620875,7.0,-0.0054464222049727395,-0.013786537055284384,0.0005599049610602454,
,,1.828086378874926,1.55318344899335,6.0,-0.00011595582535140127,-0.00402481067265618,-0.000557156931013978,-0.0005400827435340899
,0.4872851801846478,-0.5344346436698099,,1.0,-0.019360280854749244,0.03785218887190756,-5.078199225276016e-06,0.00031151555277651136
1.0,-0.7281351292211992,-0.535909360249204,-0.7149752834618949,8.0,0.026807335211431544,-0.005277259802544274,1.799606251256906e-05,5.115106618634017e-06
,,-0.5753591507241579,-0.20322130516516265,8.0,0.02677635300664229,-0.028274146687906974,1.632494909433966e-05,0.0006814044474668492
,2.633399245816809,0.957495837509766,0.7952010841451476,5.0,-0.0065764568394688855,0.013909036540771176,-1.4638334235790404e-05,-0.0009467464190326902
,,0.7557505692168294,0.5632066005576979,5.0,0.015510157270249847,0.1966129139960228,-0.0018662228600259847,0.0012378851860226807
,-1.0804368672554516,0.8841713382589467,1.1937132820239813,2.0,0.0037427010228270243,-5.3141312566632975e-06,9.904478763067988e-05,-0.00011813676028872805
